02:18:29,576;L1;L2;L3;P1;P2;P3;zapylenie;kierunek wiatru;predkosc wiatru;temp pkt rosy;PH;temp1;wilgotnosc;metan
20:48:55,767;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,777;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,782;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,787;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,791;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,798;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,808;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,814;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,819;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,824;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,831;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,838;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,845;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,850;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,856;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,864;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,872;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,878;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,884;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,889;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,895;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,901;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,907;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,913;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,918;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,925;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,930;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,936;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,942;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,947;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,955;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,962;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,969;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,975;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,981;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,989;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,998;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,007;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,013;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,021;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,029;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,036;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,043;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,051;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,060;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,069;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,076;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,083;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,090;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,097;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,105;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,114;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,122;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,130;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,138;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,144;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,152;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,160;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,169;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,180;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,188;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,195;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,202;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,211;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,219;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,228;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,236;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,243;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,252;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,262;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,270;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,277;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,284;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,292;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,300;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,309;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,318;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,324;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,330;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,335;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,340;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,345;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,351;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,357;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,362;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,368;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,375;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,382;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,391;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,396;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,403;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,408;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,413;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,419;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,425;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,431;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,436;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,441;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,447;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,456;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,465;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,478;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,487;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,495;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,503;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,512;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,521;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,530;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,539;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,548;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,558;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,568;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,578;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,590;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,600;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,610;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,619;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,629;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,637;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,647;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,657;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,665;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,674;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,685;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,700;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,709;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,718;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,727;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,736;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,755;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,775;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,785;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,795;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,806;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,819;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,829;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,839;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,850;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,860;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,870;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,879;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,890;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,903;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,913;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,922;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,931;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,940;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,950;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,960;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:56,970;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;229,754364;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
